sample_id,food_id,category,area_ratio,has_reference,actual_weight_g
sample_01,steamed_rice,grains,0.30,false,180.0
sample_02,steamed_rice,grains,0.40,true,245.0
sample_03,steamed_rice,grains,0.20,false,115.0
sample_04,brown_rice,grains,0.28,false,160.0
sample_05,chicken_biryani,grains,0.35,true,220.0
sample_06,veg_biryani,grains,0.32,false,190.0
sample_07,dal_tadka,legumes,0.25,false,150.0
sample_08,dal_tadka,legumes,0.35,true,220.0
sample_09,dal_makhani,legumes,0.28,false,180.0
sample_10,dal_makhani,legumes,0.36,true,240.0
sample_11,chana_masala,legumes,0.30,false,185.0
sample_12,rajma_curry,legumes,0.32,true,205.0
sample_13,paneer_butter_masala,curries,0.30,false,195.0
sample_14,paneer_butter_masala,curries,0.38,true,260.0
sample_15,palak_paneer,curries,0.28,false,175.0
sample_16,butter_chicken,curries,0.33,true,225.0
sample_17,roti_chapati,breads,0.24,false,70.0
sample_18,roti_chapati,breads,0.32,true,95.0
sample_19,naan,breads,0.35,false,110.0
sample_20,paratha,breads,0.30,true,105.0
sample_21,masala_dosa,breakfast,0.42,true,140.0
sample_22,idli,breakfast,0.25,false,110.0
sample_23,poha,breakfast,0.30,false,160.0
sample_24,upma,breakfast,0.28,false,155.0
sample_25,sambar,legumes,0.24,false,145.0
sample_26,aloo_gobi,vegetables,0.26,false,140.0
sample_27,bhindi_masala,vegetables,0.24,false,125.0
sample_28,salad_greens,vegetables,0.32,false,80.0
sample_29,cucumber,vegetables,0.22,false,100.0
sample_30,tomato,vegetables,0.20,false,95.0
sample_31,grilled_chicken_breast,poultry,0.26,true,175.0
sample_32,tandoori_chicken,poultry,0.30,false,190.0
sample_33,boiled_egg,eggs,0.15,false,60.0
sample_34,egg_omelette,eggs,0.28,false,115.0
sample_35,samosa,snacks,0.22,false,90.0
sample_36,french_fries,snacks,0.28,false,120.0
sample_37,apple,fruits,0.25,false,150.0
sample_38,banana,fruits,0.22,false,120.0
sample_39,pizza_slice,snacks,0.32,false,115.0
sample_40,pasta_tomato,grains,0.32,true,200.0

